Mag3,Mag2,Mag1,time,Acc1,Acc3,Acc2
-21.03424072265625,3.3782958984375,-8.66546630859375,2014-08-08 06:50:44 +0200,0.51434326171875,10.006927490234375,0.3868255615234375
-26.9195556640625,4.92401123046875,-7.80792236328125,2014-08-08 06:50:45 +0200,0.86065673828125,9.497543334960938,0.236175537109375
-26.9195556640625,3.5491943359375,-12.61444091796875,2014-08-08 06:50:46 +0200,0.341888427734375,9.6207275390625,0.4816436767578125
-27.08740234375,9.21478271484375,-19.30999755859375,2014-08-08 06:50:47 +0200,0.3848724365234375,9.607589721679688,0.460296630859375
-29.7576904296875,7.06939697265625,-25.79345703125,2014-08-08 06:50:48 +0200,0.2384185791015625,9.325851440429688,0.394012451171875
-24.9176025390625,7.31048583984375,-28.29437255859375,2014-08-08 06:50:49 +0200,0.166961669921875,9.491973876953125,0.411407470703125
-25.35400390625,4.9072265625,-31.0699462890625,2014-08-08 06:50:50 +0200,0.3180694580078125,9.733016967773438,0.3473663330078125
-24.774169921875,3.0426025390625,-31.01959228515625,2014-08-08 06:50:52 +0200,-0.2228240966796875,9.532577514648438,0.4618988037109375
-27.08740234375,5.438232421875,-35.44769287109375,2014-08-08 06:50:53 +0200,0.0388336181640625,9.588134765625,-0.144775390625
-30.95550537109375,6.98394775390625,-43.1732177734375,2014-08-08 06:50:54 +0200,-0.3046722412109375,9.557174682617188,-0.1242523193359375
-23.9532470703125,5.94024658203125,-39.410400390625,2014-08-08 06:50:55 +0200,0.1397247314453125,9.648468017578125,0.1323089599609375
-20.4315185546875,3.03497314453125,-40.92559814453125,2014-08-08 06:50:56 +0200,0.24835205078125,9.69140625,0.1558990478515625
-21.36993408203125,3.3782958984375,-39.813232421875,2014-08-08 06:50:57 +0200,-0.2437286376953125,9.588088989257812,-0.0777435302734375
-24.44915771484375,2.838134765625,-40.61126708984375,2014-08-08 06:50:58 +0200,-0.285797119140625,9.617767333984375,0.18707275390625
-23.5076904296875,-0.27618408203125,-35.5224609375,2014-08-08 06:50:59 +0200,-0.326446533203125,9.651153564453125,0.2379302978515625
-23.5076904296875,-0.27618408203125,-35.5224609375,2014-08-08 06:51:01 +0200,-0.326446533203125,9.651153564453125,0.2379302978515625
-26.873779296875,-4.44793701171875,-36.89422607421875,2014-08-08 06:51:02 +0200,-0.180908203125,9.707321166992188,0.213714599609375
-25.27618408203125,-5.04608154296875,-39.59503173828125,2014-08-08 06:51:03 +0200,-0.3334503173828125,9.497100830078125,0.24822998046875
-26.24053955078125,-4.80804443359375,-39.61181640625,2014-08-08 06:51:06 +0200,-0.0203399658203125,9.640365600585938,0.2085418701171875
-26.24053955078125,-4.80804443359375,-39.61181640625,2014-08-08 06:51:08 +0200,-0.0203399658203125,9.640365600585938,0.2085418701171875
-29.754638671875,-5.8197021484375,-45.037841796875,2014-08-08 06:51:09 +0200,0.0002593994140625,9.607086181640625,0.2086334228515625
